Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,25.570265,25.797600,23.810888,24.018456,24.018456,2848098
2018-09-05,24.216139,24.641155,24.038223,24.562082,24.562082,1875125
2018-09-06,24.917912,25.669106,24.710344,25.352814,25.352814,3504503
2018-09-10,25.975515,26.192966,25.382465,25.787716,25.787716,3454929
2018-09-11,25.145247,25.639454,24.483009,24.670809,24.670809,4674762
2018-09-12,24.957447,25.303392,24.226023,24.384169,24.384169,2378052
2018-09-13,24.492893,24.898144,24.038223,24.196369,24.196369,3889868
2018-09-14,24.255674,24.562082,23.583553,23.721931,23.721931,1669341
2018-09-17,23.860310,25.352814,23.534132,25.352814,25.352814,1458903
2018-09-18,25.382465,27.161612,24.838839,26.588331,26.588331,2802672
2018-09-19,26.301691,27.843616,26.104008,27.181379,27.181379,4043144
2018-09-20,27.685471,28.229097,26.795898,27.655819,27.655819,3385019
2018-09-21,27.962227,29.009945,27.527325,28.565159,28.565159,2455550
2018-09-24,28.090719,28.495970,27.181379,27.280222,27.280222,1990967
2018-09-25,26.884855,27.675587,26.489491,27.092422,27.092422,2132001
2018-09-26,27.181379,27.675587,27.131960,27.527325,27.527325,1724277
2018-09-27,27.458136,28.199446,27.458136,27.873268,27.873268,2836969
2018-09-28,27.477903,28.061068,26.795898,27.379063,27.379063,1782249
2018-10-01,27.556976,27.853500,26.855204,27.299990,27.299990,1450505
2018-10-02,28.219213,29.553574,28.219213,29.257048,29.257048,2702410
2018-10-03,30.245462,31.233875,29.593109,29.929171,29.929171,3840092
2018-10-04,29.434963,29.691950,27.893038,29.158207,29.158207,2894738
2018-10-05,30.245462,30.808859,29.108786,30.097200,30.097200,3484876
2018-10-08,32.123447,34.080509,31.925766,32.459511,32.459511,3903526
2018-10-09,32.123447,34.297958,31.787388,32.291477,32.291477,4994972
2018-10-10,31.925766,32.380436,29.998360,30.769321,30.769321,3164059
2018-10-11,31.807156,32.271709,30.532103,30.660597,30.660597,2625620
2018-10-15,31.480980,31.905996,29.879749,30.324535,30.324535,2573820
2018-10-16,30.937351,31.421675,30.423376,31.362370,31.362370,3203617
2018-10-17,31.332718,33.339195,30.769321,33.329311,33.329311,3560654
2018-10-18,32.914181,34.485756,32.657192,33.843288,33.843288,3440967
2018-10-19,34.495644,34.554947,32.202522,33.457806,33.457806,3838372
2018-10-22,33.606068,35.217182,33.606068,34.989849,34.989849,4779779
2018-10-23,33.971783,35.059036,33.615952,34.792168,34.792168,3021406
2018-10-24,34.940430,35.869537,33.625835,33.833405,33.833405,2995708
2018-10-25,34.238655,34.634022,33.546764,34.248539,34.248539,2585556
2018-10-26,34.594482,34.752628,33.220589,33.813637,33.813637,2988019
2018-10-29,33.161282,33.536880,31.708315,31.905996,31.905996,5099382
2018-10-30,32.419971,34.900890,32.291477,34.900890,34.900890,3923356
2018-10-31,34.752628,35.750927,33.526997,34.100277,34.100277,4202490
2018-11-01,33.111862,33.111862,31.253645,31.767618,31.767618,6973293
2018-11-05,32.074028,32.607773,31.787388,32.360668,32.360668,3077759
2018-11-06,31.728083,32.518814,31.382137,32.518814,32.518814,2851234
2018-11-07,32.518814,32.904297,30.433262,31.115267,31.115267,4171228
2018-11-08,31.233875,31.569937,29.968706,30.364073,30.364073,2804291
2018-11-09,30.492565,31.441442,29.365774,30.957121,30.957121,3649281
2018-11-12,31.055962,32.805454,30.690248,32.746147,32.746147,2752592
2018-11-13,32.765919,33.803753,32.222290,32.716496,32.716496,3456345
2018-11-14,32.864758,34.594482,32.459511,33.902592,33.902592,5845830
2018-11-16,34.545063,35.187531,34.070625,34.396801,34.396801,2887656
2018-11-19,33.932247,35.385216,33.685143,34.891006,34.891006,2261299
2018-11-21,34.218887,35.582897,34.050854,34.525295,34.525295,2007863
2018-11-22,34.594482,36.027683,34.574715,35.661968,35.661968,2395049
2018-11-23,35.681740,37.263199,35.375332,36.867836,36.867836,3969086
2018-11-26,37.500420,38.004513,35.968376,37.164360,37.164360,4815999
2018-11-27,37.362041,37.549839,36.620731,37.401577,37.401577,6346430
2018-11-28,37.352158,39.210377,36.946907,38.844662,38.844662,4601817
2018-11-29,38.182426,39.022575,37.579494,38.281265,38.281265,2674992
2018-11-30,38.251614,38.676632,36.768993,37.826595,37.826595,21697491
2018-12-03,38.152775,39.388290,38.152775,38.834778,38.834778,2177225
2018-12-04,38.834778,39.872612,38.419643,38.943504,38.943504,2747836
2018-12-05,38.943504,39.595856,38.943504,39.437710,39.437710,1134241
2018-12-06,38.894081,39.151070,38.044048,38.805126,38.805126,2376433
2018-12-07,38.815010,39.052231,37.431232,37.539955,37.539955,2618741
2018-12-10,37.480652,37.915554,36.185829,36.788761,36.788761,2426615
2018-12-11,37.510303,37.846363,36.452702,37.006214,37.006214,2399602
2018-12-12,37.352158,37.549839,36.442818,37.065517,37.065517,2787091
2018-12-13,37.114937,37.539955,36.274788,36.719574,36.719574,1787105
2018-12-14,36.353859,37.787060,36.304440,37.164360,37.164360,1865615
2018-12-17,37.263199,37.441116,36.146294,36.146294,36.146294,1189481
2018-12-18,36.640499,36.640499,34.811935,36.235249,36.235249,3430344
2018-12-19,36.442818,38.241730,35.918957,37.707985,37.707985,4198241
2018-12-20,38.152775,39.536552,38.152775,38.884197,38.884197,3015336
2018-12-21,39.240028,39.665047,38.548138,39.062115,39.062115,2522425
2018-12-26,38.548138,38.548138,37.273083,37.559723,37.559723,1482273
2018-12-27,37.609146,39.447594,37.332390,39.447594,39.447594,1632008
2018-12-28,39.388290,41.533150,39.378407,41.533150,41.533150,1888480
2019-01-02,41.444191,43.549511,41.216854,42.501793,42.501793,2085664
2019-01-03,42.254688,43.460556,41.612221,42.936695,42.936695,1464771
2019-01-04,42.946579,42.966347,41.216854,41.513378,41.513378,1680976
